actual_gloss,normalized_gloss
情况,CONDITION
前途,FUTURE
形势,SITUATION
局势,SITUATION
动态,DYNAMIC
形态,FORM
声势,MOMENTUM
优势,ADVANTAGE
现实,REALITY
实际,ACTUAL
定局,FOREGONE_CONCLUSION
局面,SITUATION
局部,LOCAL
部分,PART
过渡,TRANSITION
标志,LOGO
目标,TARGET
目的,PURPOSE
意义,SIGNIFICANCE
结果,RESULT
作用,EFFECT
用途,USE
功能,FUNCTION
环节,LINK
头绪,CLUE
公益,PUBLIC_WELFARE
利益,BENEFIT
成效（成功）,RESULT
效益,BENEFIT
有效,EFFICIENT
程度,DEGREE
进度,SCHEDULE
象征,SYMBOL
根源,SOURCE
体现,REFLECT
普及,UNIVERSAL
提高,IMPROVE
利用,USE
引导,GUIDE
开展,CARRY_OUT
发展,DEVELOP
发挥,PLAY
发动,LAUNCH
发生,OCCUR
出现,APPEAR
成立（建立）,ESTABLISH
形成,FORM
构成,CONSTITUTE
实行,IMPLEMENT
转折（拐弯）,TURN
扭转,TWIST
好转,IMPROVE
改善（改良）,IMPROVE
搞清,FIND_OUT
承受,BEAR
摆脱,GET_RID_OF
解除,LIFT
解散,DISSOLVE
放弃（放）,GIVE_UP
废除,ABOLITION
民主,DEMOCRACY
自由,FREE
集中,FOCUS
安定,STABLE
团结,UNITY
庄严,SOLEMN
热闹,LIVELY
富裕,RICH
富强,STRONG
丰富,RICH
小康,PROSPERITY
和睦,HARMONY
幸福,HAPPY
吉祥,AUSPICIOUS
安静,SILENT
寂静,SILENCE
孤立,ISOLATE
贫苦,POOR
禁止,PROHIBIT
反复（重复）,REPEAT
延长,EXTEND
耽误,DELAY
避免,AVOID
专门,SPECIAL
圆满,COMPLETE
困难,DIFFICULTY
容易,EASY
紧张,NERVOUS
稳定,STABLE
基础（根据）,BASE
基本,BASIC
加强,STRENGTHEN
详细,DETAILED
保留,RESERVE
安全,SAFETY
危害,HARM
升,RISE
降,DROP
涨,RISE
落,FALL
来,COME
去（出）,GO
到,ARRIVE
晒,SHOW
醒,AWAKE
有,HAVE
没有（无）,NONE
是,YES
不是,NO
属于,BELONG
小,LITTLE
多,MANY
少,FEW
长,LONG
短,SHORT
高,HIGH
矮（低）,LOW
远,FAR
近,CLOSE
宽（宽广）,WIDE
窄（狭）,NARROW
粗,CRUDE
细（细致）,FINE
厚,THICK
薄,THIN
轻,LIGHT
重,HEAVY
沉重,HEAVY
硬,HARD
软,SOFT
深,DEEP
浅,SHALLOW
快,QUICK
慢,SLOW
冷,COLD
热（汗）,HOT
暖（温暖、暖和）,WARM
胖（肥）,FAT
瘦,THIN
饱,FULL
饿,HUNGRY
满,FULL
新,NEW
旧,OLD
好,OKAY
坏,BAD
差（劣）,POOR
漏（滴）,LEAK
真,REAL
假,FAKE
美,BEAUTIFUL
丑,UGLY
正,JUST
歪（倾向）,SLANT
直,STRAIGHT
曲（曲折）,ZIGZAG
平（平等）,EQUAL
皱,WRINKLE
褶子,PLEATS
干,DRY
温,TEMPERATURE
单,SINGLE
双,PAIR
疏,SPARSE
密,DENSE
密集,DENSE
空,EMPTY
实,REALITY
紧,TIGHT
松,LOOSE
胀,SWELL
缩,SHRINK
强,POWERFUL
弱,WEAK
浓,THICK
淡,LIGHT
清淡,LIGHT
嫩,TENDER
老,OLD
尖（锋利、尖锐）,SHARP
钝（秃）,BLUNT
破,BREAK
缺,LACK
偏,PARTIAL
扁（瘪）,FLAT
韧,TOUGH
颜色（彩色）,COLOR
红,RED
橙色,ORANGE
黄,YELLOW
绿,GREEN
碧绿,GREEN
青,GREEN
蓝,BLUE
紫,PURPLE
褐色,BROWN
灰,ASH
棕,BROWN
黑,BLACK
白,WHITE
嫂嫂,SISTER_IN_LAW
姐姐,ELDER_SISTER
姐夫,BROTHER_IN_LAW
弟弟,YOUNGER_BROTHER
妹妹,YOUNGER_SISTER
宝贝,BABY
儿子（男孩）,SON
女儿（女孩）,DAUGHTER
孙子,GRANDSON
孙女,GRANDDAUGHTER
阿姨,AUNT
表哥,COUSIN
丈夫,HUSBAND
妻子,WIFE
夫人,LADY
职业,PROFESSION
工人,WORKER
矿工,MINER
农民,FARMER
牧民,SHEPHERD
小孩儿（儿童、少年）,CHILDREN
青年,YOUTH
成年人（大人）,ADULT
老人,ELDER
残疾人,DISABLED
聋人,DEAF
盲人,BLIND
肢残人,HANDICAPPED
弱智人,MENTALLY_CHALLENGED
祖父（爷爷）,GRANDFATHER
祖母（奶奶）,GRANDMOTHER
外祖父（外公）,GRANDFATHER
外祖母（外婆）,GRANDMOTHER
爸爸,FATHER
妈妈,MOTHER
岳父,FATHER_IN_LAW
岳母,MOTHER_IN_LAW
公公,FATHER_IN_LAW
婆婆,MOTHER_IN_LAW
哥哥,ELDER_BROTHER
邻居,NEIGHBOR
自己,OWN
我,ME
你,YOU
他（她、它）,THEY
我们,WE
你们,YOU
他们,THEM
别人,OTHERS
大家,EVERYONE
群众,CROWD
同志,COMRADE
同事,COLLEAGUE
同学,CLASSMATE
同胞,FELLOW
朋友,FRIEND
男,MALE
女（姑娘）,FEMALE
先生,SIR
女士,MADAM
身体,BODY
头（脑）,MIND
头发,HAIR
辫子,BRAID
脸,FACE
眼,EYE
耳,EAR
鼻,NOSE
口,MOUTH
舌,TONGUE
牙齿,TEETH
脚,FOOT
心,HEART
人,PEOPLE
人类,HUMANITY
人民,PEOPLE
国民,NATIONAL
公民,CITIZEN
市民,CITIZEN
居民,RESIDENT
裁缝,TAILOR
模特,MODEL
商人,MERCHANT
经纪人,BROKER
个体户,SELF_EMPLOYED
会计,ACCOUNTING
园丁,GARDENER
保姆,NANNY
向导,WIZARD
猎手,HUNTER
解放军,ARMY
警察,POLICE
武警,POLICE
刑警,CRIMINAL_POLICE
保安,SECURITY_GUARD
保卫,DEFEND
门卫,GATEKEEPER
食品,FOOD
食物,FOOD
米饭（粮食）,RICE
公务员,CIVIL_SERVANT
职员,STAFF
知识分子,INTELLECTUAL
教师,TEACHER
教练,COACH
翻译,TRANSLATE
记者,REPORTER
编辑,EDIT
作家,WRITER
画家,PAINTER
导演,DIRECTOR
演员,ACTOR
医生（大夫）,DOCTOR
护士,NURSE
学生,STUDENT
律师,LAWYER
驾驶员,DRIVER
邮递员,POSTMAN
炊事员,COOK
保育员,NURSE
交流,COMMUNICATE
沟通,COMMUNICATION
礼貌,POLITE
谦让（客气）,KIND
招呼,CALL
观察,OBSERVE
拜访,VISIT
友谊,FRIENDSHIP
约会,DATING
会见（接见）,MEET
会客,RECEPTION
祝愿,WISH
庆祝,CELEBRATE
民政,GOVERNMENT
福利,WELFARE
捐献,DONATE
事业,CAUSE
事情,MATTER
事件,EVENT
事例,CASE
婚姻,MARRIAGE
亲切,KIND
美容,BEAUTY
工作,WORK
地位,STATUS
经验,EXPERIENCE
就业,GET_JOB
岗位,POST
服务,SERVE
名声,REPUTATION
名望,FAME
负责,RESPONSIBLE
任务,TASK
责任（委任）,DUTY
推荐,RECOMMEND
招聘,RECRUITMENT
社会,SOCIETY
环境,ENVIRONMENT
传统,TRADITION
气氛,ATMOSPHERE
拖把（墩布）,MOP
扫帚,BROOM
纸篓,TRASH_CAN
烟灰缸,ASHTRAY
扇子,FAN
刀,KNIFE
打火机,LIGHTER
电视机,TELEVISION
电冰箱,REFRIGERATOR
电风扇,ELECTRIC_FAN
空调,AIR_CONDITIONER
洗衣机,WASHING_MACHINE
籍贯（老家）,HOMETOWN
名片,BUSINESS_CARD
名义,NAME
对象,OBJECT
